"ID_carre"	"pres_2022"	"pres_2024"	"temp1"	"temp2"	"temp3"	"temp4"	"mare1"	"mare2"	"mare3"	"mare4"	"dist_bombina"	"dist_foret"	"dist_coursEau"	"dist_planEau"	"foret_surf"	"prairie_surf"	"cultures_surf"	"planEau_surf"	"nb_planEau"
1	0	0	21	20	15	25	2	2	2	2	1326	0	245	301	39123.7875184081	1187.1226312872	0	0	2
2	0	0	21	22	27	20	1	1	1	1	930	263	3	253	0	14771.4031240046	18045.2694158852	0	1
3	0	0	19	21	15	16	0	0	0	0	135	0	22	450	22876.4276468161	0	13514.3353219219	0	0
4	0	1	20	21	16	30	2	2	2	2	150	0	53	632	30410.7470428413	10022.0614344776	0	0	2
5	0	1	16	29	17	25	20	20	20	20	665	3	1	802	17730.6157090291	22734.7244108617	0	0	20
6	1	1	19	24	15	30	1	1	1	1	92	348	12	397	0	3089.69106829772	12712.6476011064	0	1
7	0	1	16	28	21	17	2	2	2	2	179	0	266	809	40000	0	0	0	2
8	0	0	26	27	24	20	5	5	5	5	449	0	483	1112	40000	0	0	0	5
9	1	1	20	19	21	17	4	4	4	4	79	0	131	297	40000	0	0	0	4
10	0	0	18	25	16	25	1	1	1	1	932	0	29	959	17102.6817391014	1267.01431061327	19704.2545164116	0	1
11	0	0	17	25	16	25	1	1	1	1	895	53	44	682	2135.46498999186	23772.7935973033	12449.0873272754	0	1
12	0	0	24	29	20	20	1	1	1	1	283	0	580	760	24711.8399399221	15733.1534843436	2436.32462339476	0	1
13	0	0	21	29	21	21	0	0	0	0	253	0	155	444	38149.8840155639	0	0	0	0
14	1	1	22	29	15	32	4	4	4	4	15	0	7	307	39984.0206206292	0	0	0	4
15	0	1	27	29	15	20	1	1	1	1	631	18	202	350	12451.4494002663	28640.8467646532	0	0	1
16	0	0	21	25	16	24	1	1	1	1	1066	114	6	158	0	36326.2964300364	3299.61292853579	0	1
17	0	0	21	30	24	27	1	1	1	1	955	0	319	901	40000	0	0	0	1
18	0	1	20	29	16	31	4	4	4	4	728	0	161	714	39846.2365610301	402.421602302929	0	0	4
19	0	0	20	31	24	15	1	1	1	1	1520	0	335	507	36607.8671050072	0	3653.43411102891	0	1
20	0	0	20	26	21	25	2	2	2	2	419	9	77	395	15357.2673882842	25128.7856989205	0	0	2
21	0	0	23	30	30	30	0	0	0	0	1425	16	46	956	14201.8251610696	22877.594209685	0	0	0
22	0	0	29	29	24	22	1	1	1	1	507	191	42	279	0	30979.2462760098	7061.05612062849	0	1
23	0	1	22	25	20	20	1	1	1	1	258	0	242	460	40000	59.5964144566096	0	0	1
24	0	0	22	25	20	20	1	1	1	1	356	4	149	264	24277.2007263526	19091.4514805383	435.073652939871	0	1
25	0	0	31	30	26	26	1	1	1	1	274	83	2	0	3021.78621978039	0	5199.48966116225	31087.9865962267	1
26	1	0	30	30	24	15	1	1	1	1	74	0	57	0	22341.8333336245	0	0	14831.2503972463	1
27	0	0	24	27	25	20	0	0	0	0	946	0	85	251	38635.4853844941	1433.13456436619	0	0	0
28	0	0	25	26	14	16	1	1	1	1	1322	0	502	827	40000	0	0	0	1
29	0	0	25	30	24	21	0	0	0	0	502	0	498	300	40000	0	0	0	0
30	0	0	25	30	22	21	2	2	2	2	384	0	395	397	40000	0	0	0	2
31	0	0	29	30	22	25	1	1	1	1	1717	393	197	57	0	14259.4075725758	16926.004295697	4759.5464302972	1
32	0	0	25	26	14	16	0	0	0	0	1092	0	522	1145	40000	0	0	0	0
33	0	0	31	30	22	23	1	1	1	1	1292	396	105	286	0	37767.3900715834	0	0	1
34	0	0	25	23	26	20	1	1	1	1	357	65	11	665	7414.10697366297	29967.8925551306	0	0	1
35	0	0	21	27	25	25	5	5	5	5	544	653	36	494	0	34329.0755975544	4868.5739652887	0	5
36	0	0	31	30	22	23	1	1	1	1	1273	602	55	505	0	33929.738750489	0	0	1
37	0	0	25	27	14	16	2	2	2	2	774	0	144	1110	40000	0	0	0	2
38	0	0	25	27	15	21	1	1	1	1	454	0	228	886	40000	0	0	0	1
39	0	0	28	30	24	23	2	2	2	2	1748	615	107	35	0	10806.2789450758	16696.3471920379	3080.32181289303	2
40	0	0	25	27	15	21	1	1	1	1	423	0	231	1084	40000	0	0	0	1
41	1	0	24	27	16	25	3	3	3	3	99	0	408	803	40000	0	0	0	3
42	0	0	20	25	25	21	1	1	1	1	912	824	28	884	0	16568.4403811061	21316.031634942	0	1
43	0	0	25	25	18	16	0	0	0	0	1017	19	95	728	18027.7640068401	22469.2838063985	0	0	0
44	0	1	32	28	22	25	1	1	1	1	758	58	9	0	6611.14700624347	13941.5968300478	0	15101.0039142258	1
45	0	0	25	25	27	16	0	0	0	0	682	0	47	637	37309.9181513488	2411.33350613713	0	0	0
46	1	0	24	27	18	25	2	2	2	2	124	0	331	650	40000	0	0	0	2
47	0	0	31	28	22	25	1	1	1	1	582	173	61	33	0	27524.1216877997	0	10074.5351833859	1
48	0	0	25	25	27	16	0	0	0	0	955	58	2	372	5061.11895862222	30400.8689414561	4346.57790941745	0	0
49	0	0	31	28	22	25	4	4	4	4	311	143	27	0	0	13043.4891016053	0	22308.1238257186	4
50	0	0	24	29	27	30	0	0	0	0	857	284	97	342	0	22185.5185668739	16974.3426982351	0	0
51	0	0	25	29	27	26	2	2	2	2	1227	489	110	10	0	25598.2692654864	10173.8621865958	9370.27874686709	2
52	0	0	24	25	24	26	2	2	2	2	228	376	14	363	0	38000.6975472693	0	0	2
53	0	0	25	29	21	25	1	1	1	1	413	1270	146	0	0	7625.13958441839	2115.74509001873	23845.5498146899	1
54	0	0	25	30	21	26	5	5	5	5	679	460	397	71	0	31592.0880669951	0	3791.11847762868	5
55	0	0	23	28	22	24	2	2	2	2	823	2	46	6	21818.3359694714	0	0	15724.7671623453	2
56	0	0	20	26	25	25	1	1	1	1	634	426	70	157	0	38536.4826797907	0	0	1
57	0	0	24	30	21	26	1	1	1	1	857	638	350	80	0	20390.589907933	12308.7676190871	3508.0957608819	1
58	0	0	21	28	22	24	2	2	2	2	1448	0	427	408	40000	0	0	0	2
59	0	0	25	28	24	23	1	1	1	1	834	245	210	30	0	11428.166748751	14773.8881039172	8398.14484767336	1
60	0	0	25	25	30	30	0	0	0	0	1625	0	348	598	39970.6761208028	0	0	0	0
61	0	0	20	26	25	25	1	1	1	1	987	627	39	455	0	34546.5027958862	605.280856624246	0	1
62	0	0	25	25	18	30	3	3	3	3	1417	0	400	730	40000	0	0	0	3
63	0	0	22	21	27	25	1	1	1	1	1138	523	4	437	0	34835.6899713759	4168.10125545599	0	1
64	0	0	27	29	22	21	2	2	2	2	1257	0	619	536	40000	0	0	0	2
65	0	0	25	25	18	30	0	0	0	0	1438	17	135	782	16174.0621425807	1.48518172040349	22720.7644750717	0	0
66	0	0	25	25	18	30	0	0	0	0	1252	74	55	601	4156.11951299012	11676.9617154319	24184.8061983287	0	0
67	0	0	22	21	27	25	1	1	1	1	1335	722	22	379	0	38647.4993431605	51.0857296716422	0	1
68	0	0	24	22	25	30	1	1	1	1	1296	685	14	447	0	11909.602791178	26482.4112220891	0	1
69	0	0	27	29	22	21	5	5	5	5	1670	0	5	429	29725.4200000465	10400.4458008111	0	0	5
70	0	0	27	29	22	21	5	5	5	5	1696	0	538	215	40000	0	0	0	5
71	0	0	21	19	18	16	3	3	3	3	65	0	63	621	38324.096277866	0	0	0	3
72	1	1	20	20	21	17	3	3	3	3	86	0	64	97	34012.0236704112	5607.0148423966	2086.92195624113	19.0811847575242	3
73	1	1	20	20	16	31	2	2	2	2	8	0	34	21	18583.6852244572	0	1930.51208953187	9143.98009452975	2
74	1	1	20	20	16	31	2	2	2	2	37	60	31	0	6688.25576168299	7523.24133028835	4480.6722715199	14800.8389407918	2
75	0	0	20	28	26	25	0	0	0	0	63	241	112	240	0	25515.2674443051	14154.0774745047	0	0
76	1	1	20	30	15	32	2	2	2	2	79	2	54	0	22962.0547697451	0	78.1840482316911	13551.9068054712	2
77	1	1	19	30	24	26	1	1	1	1	70	71	42	50	2955.11223617103	1057.10407320969	28661.392663138	1472.47232322767	1
78	1	1	20	30	15	32	3	3	3	3	30	0	289	256	40000	0	0	0	3
79	1	1	19	30	24	26	1	1	1	1	95	0	31	17	14601.3894824907	10656.1740628118	160.249628944322	1518.1976767648	1
80	1	1	15	28	16	32	1	1	1	1	57	130	112	91	0	25367.2674916387	12963.7558122277	342.988153524697	1
81	1	1	15	28	16	32	1	1	1	1	55	0	5	20	23446.128995955	481.373611553572	1130.77294814214	10147.8313919299	1
82	1	1	20	30	15	32	5	5	5	5	43	0	300	374	40000	0	0	0	5
83	1	1	19	29	24	26	5	5	5	5	82	0	155	447	39177.9572489858	0	1764.41671261936	0	5
84	1	1	15	28	15	32	5	5	5	5	71	0	151	172	37153.895364156	4166.42471165373	0	0	5
85	1	1	17	22	20	30	3	3	3	3	25	204	26	0	0	3517.13055983558	0	22856.9484938649	3
86	1	1	17	24	20	30	3	3	3	3	40	81	36	0	2404.79428583011	7465.84841734543	0	24889.6007004967	3
87	1	1	17	25	20	30	3	3	3	3	83	0	53	47	32384.4600752406	207.049073744565	0	5586.22953164484	3
88	0	0	21	32	24	27	1	1	1	1	1303	29	44	137	13142.7462536842	16770.3315742314	10120.9933092222	0	1
89	0	0	20	28	24	20	1	1	1	1	33	64	37	72	2139.52362230234	586.281256131828	0	1726.74439577758	1
90	0	0	20	28	20	30	1	1	1	1	47	222	74	32	0	0	13495.4354894534	866.629999984521	1
91	1	1	20	27	24	20	3	3	3	3	85	226	86	49	0	0	0	6354.11025362596	3
92	0	0	25	32	25	20	1	1	1	1	63	157	97	522	0	17968.3147060908	21628.8960918467	0	1
93	0	1	20	31	26	25	2	2	2	2	162	408	82	107	0	1036.372292549	35293.2777782683	873.081044370076	2
94	0	1	31	30	25	20	2	2	2	2	16	20	32	0	13750.0055130869	10794.4847510051	1075.50373098999	4598.74363916996	2
95	0	0	20	30	26	26	1	1	1	1	56	4	165	45	6553.82000554726	25153.9562844671	747.497741134837	2352.88823497668	1
96	0	0	31	30	25	20	0	0	0	0	71	85	20	33	1832.44044838101	12729.0850974303	10406.498353106	8578.28571967408	0
97	0	1	31	30	25	20	3	3	3	3	91	0	131	43	34041.4883903218	0	0	7433.00524199661	3
98	0	0	20	30	26	26	1	1	1	1	49	79	10	6	371.21855431702	20411.862701817	432.107559338561	10788.9568858817	1
99	1	1	20	30	19	25	1	1	1	1	35	134	89	2	0	17808.7419266701	0	16426.5913478744	1
100	1	1	31	30	19	27	1	1	1	1	3	3	23	0	17486.2486983091	0	0	14520.8449683336	1
101	1	1	31	30	19	27	2	2	2	2	42	57	17	31	6494.39912547171	10273.2664603461	11043.4789038152	5632.15402945224	2
102	0	1	31	30	19	27	3	3	3	3	8	20	42	0	10491.5516457268	9272.5946607627	0	9306.23607128114	3
103	0	0	24	30	15	30	1	1	1	1	27	0	58	531	40000	0	0	0	1
